2015-12-07T17:29:39.371+0900 W -        [initandlisten] Detected unclean shutdown - /data/db/mongod.lock is not empty.
2015-12-07T17:30:33.247+0900 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:49513 #16 (1 connection now open)
2015-12-07T17:30:33.250+0900 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:49514 #17 (2 connections now open)
2015-12-07T17:30:33.250+0900 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:49515 #18 (3 connections now open)
2015-12-07T17:30:33.250+0900 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:49516 #19 (4 connections now open)
2015-12-07T17:30:33.250+0900 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:49517 #20 (5 connections now open)
2015-12-07T17:30:43.988+0900 I NETWORK  [conn16] end connection 127.0.0.1:49513 (4 connections now open)
2015-12-07T17:30:43.988+0900 I NETWORK  [conn20] end connection 127.0.0.1:49517 (3 connections now open)
2015-12-07T17:30:43.989+0900 I NETWORK  [conn19] end connection 127.0.0.1:49516 (2 connections now open)
2015-12-07T17:30:43.989+0900 I NETWORK  [conn18] end connection 127.0.0.1:49515 (2 connections now open)
2015-12-07T17:30:43.989+0900 I NETWORK  [conn17] end connection 127.0.0.1:49514 (1 connection now open)
2015-12-07T17:30:45.026+0900 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:49546 #21 (1 connection now open)
2015-12-07T17:30:45.026+0900 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:49547 #22 (2 connections now open)
2015-12-07T17:30:45.028+0900 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:49548 #23 (3 connections now open)
2015-12-07T17:30:45.029+0900 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:49549 #24 (4 connections now open)
2015-12-07T17:30:45.029+0900 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:49550 #25 (5 connections now open)
2015-12-07T17:30:46.693+0900 I NETWORK  [conn23] end connection 127.0.0.1:49548 (4 connections now open)
2015-12-07T17:30:46.693+0900 I NETWORK  [conn25] end connection 127.0.0.1:49550 (4 connections now open)
2015-12-07T17:30:46.693+0900 I NETWORK  [conn24] end connection 127.0.0.1:49549 (4 connections now open)
2015-12-07T17:30:46.693+0900 I NETWORK  [conn21] end connection 127.0.0.1:49546 (4 connections now open)
2015-12-07T17:30:46.693+0900 I NETWORK  [conn22] end connection 127.0.0.1:49547 (4 connections now open)
2015-12-07T17:30:47.585+0900 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:49566 #26 (1 connection now open)
2015-12-07T17:30:47.587+0900 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:49567 #27 (2 connections now open)
2015-12-07T17:30:47.587+0900 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:49568 #28 (3 connections now open)
2015-12-07T17:30:47.587+0900 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:49569 #29 (4 connections now open)
2015-12-07T17:30:47.587+0900 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:49570 #30 (5 connections now open)
2015-12-07T17:30:52.502+0900 I NETWORK  [conn26] end connection 127.0.0.1:49566 (4 connections now open)
2015-12-07T17:30:52.502+0900 I NETWORK  [conn30] end connection 127.0.0.1:49570 (3 connections now open)
2015-12-07T17:30:52.503+0900 I NETWORK  [conn29] end connection 127.0.0.1:49569 (2 connections now open)
2015-12-07T17:30:52.503+0900 I NETWORK  [conn28] end connection 127.0.0.1:49568 (2 connections now open)
2015-12-07T17:30:52.503+0900 I NETWORK  [conn27] end connection 127.0.0.1:49567 (1 connection now open)
2015-12-07T17:30:53.520+0900 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:49597 #31 (1 connection now open)
2015-12-07T17:30:53.520+0900 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:49598 #32 (2 connections now open)
2015-12-07T17:30:53.522+0900 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:49599 #33 (3 connections now open)
2015-12-07T17:30:53.523+0900 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:49600 #34 (4 connections now open)
2015-12-07T17:30:53.523+0900 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:49601 #35 (5 connections now open)
2015-12-07T17:31:19.243+0900 I NETWORK  [conn32] end connection 127.0.0.1:49598 (4 connections now open)
2015-12-07T17:31:19.243+0900 I NETWORK  [conn31] end connection 127.0.0.1:49597 (3 connections now open)
2015-12-07T17:31:19.243+0900 I NETWORK  [conn35] end connection 127.0.0.1:49601 (3 connections now open)
2015-12-07T17:31:19.243+0900 I NETWORK  [conn34] end connection 127.0.0.1:49600 (3 connections now open)
2015-12-07T17:31:19.243+0900 I NETWORK  [conn33] end connection 127.0.0.1:49599 (2 connections now open)
2015-12-07T17:31:20.299+0900 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:49628 #36 (1 connection now open)
2015-12-07T17:31:20.301+0900 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:49629 #37 (2 connections now open)
2015-12-07T17:31:20.301+0900 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:49630 #38 (3 connections now open)
2015-12-07T17:31:20.301+0900 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:49631 #39 (4 connections now open)
2015-12-07T17:31:20.301+0900 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:49632 #40 (5 connections now open)
2015-12-07T17:31:27.057+0900 I NETWORK  [conn36] end connection 127.0.0.1:49628 (4 connections now open)
2015-12-07T17:31:27.057+0900 I NETWORK  [conn39] end connection 127.0.0.1:49631 (4 connections now open)
2015-12-07T17:31:27.057+0900 I NETWORK  [conn40] end connection 127.0.0.1:49632 (4 connections now open)
2015-12-07T17:31:27.057+0900 I NETWORK  [conn38] end connection 127.0.0.1:49630 (4 connections now open)
2015-12-07T17:31:27.057+0900 I NETWORK  [conn37] end connection 127.0.0.1:49629 (4 connections now open)
2015-12-07T17:31:28.114+0900 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:49644 #41 (1 connection now open)
2015-12-07T17:31:28.117+0900 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:49645 #42 (2 connections now open)
2015-12-07T17:31:28.117+0900 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:49646 #43 (3 connections now open)
2015-12-07T17:31:28.117+0900 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:49647 #44 (4 connections now open)
2015-12-07T17:31:28.117+0900 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:49648 #45 (5 connections now open)
2015-12-07T17:31:30.535+0900 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:49655 #46 (6 connections now open)
2015-12-07T17:31:30.544+0900 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:49656 #47 (7 connections now open)
2015-12-07T17:31:35.034+0900 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:49658 #48 (8 connections now open)
2015-12-07T17:31:35.043+0900 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:49659 #49 (9 connections now open)
2015-12-07T17:31:36.515+0900 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:49660 #50 (10 connections now open)
2015-12-07T17:31:36.524+0900 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:49661 #51 (11 connections now open)
2015-12-07T17:31:46.470+0900 I NETWORK  [conn51] end connection 127.0.0.1:49661 (10 connections now open)
2015-12-07T17:31:46.470+0900 I NETWORK  [conn50] end connection 127.0.0.1:49660 (9 connections now open)
2015-12-07T17:31:47.142+0900 I NETWORK  [conn49] end connection 127.0.0.1:49659 (8 connections now open)
2015-12-07T17:31:47.142+0900 I NETWORK  [conn48] end connection 127.0.0.1:49658 (7 connections now open)
2015-12-07T17:31:47.150+0900 I NETWORK  [conn47] end connection 127.0.0.1:49656 (6 connections now open)
2015-12-07T17:31:47.151+0900 I NETWORK  [conn46] end connection 127.0.0.1:49655 (5 connections now open)
2015-12-07T17:32:05.658+0900 I NETWORK  [conn41] end connection 127.0.0.1:49644 (4 connections now open)
2015-12-07T17:32:05.658+0900 I NETWORK  [conn45] end connection 127.0.0.1:49648 (3 connections now open)
2015-12-07T17:32:05.658+0900 I NETWORK  [conn44] end connection 127.0.0.1:49647 (3 connections now open)
2015-12-07T17:32:05.658+0900 I NETWORK  [conn43] end connection 127.0.0.1:49646 (3 connections now open)
2015-12-07T17:32:05.658+0900 I NETWORK  [conn42] end connection 127.0.0.1:49645 (2 connections now open)
2015-12-07T17:32:06.703+0900 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:49686 #52 (1 connection now open)
2015-12-07T17:32:06.705+0900 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:49687 #53 (2 connections now open)
2015-12-07T17:32:06.705+0900 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:49688 #54 (3 connections now open)
2015-12-07T17:32:06.705+0900 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:49689 #55 (4 connections now open)
2015-12-07T17:32:06.705+0900 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:49690 #56 (5 connections now open)
2015-12-07T17:32:13.132+0900 I NETWORK  [conn56] end connection 127.0.0.1:49690 (4 connections now open)
2015-12-07T17:32:13.132+0900 I NETWORK  [conn55] end connection 127.0.0.1:49689 (3 connections now open)
